"Appareil";"Nom=";"Four Thermidor Efita";;"Numéro de série=";"8470479";;"Version de logiciel=";"5.4"
;"Adresse MAC=";"00:0A:8D:81:3F:CF";;"Langue=";"fr";;"Pays=";"FR";;"Fuseau horaire=";"GMT"
"Groupe";"Group 1"
"Pt Froid";"Bas=";50,0;"Haut=";550,0;"Unités=";"°C"
"% Puissance";"Bas=";0,0;"Haut=";100,0;"Unités=";"%"
"Regulation";"Bas=";50,0;"Haut=";550,0;"Unités=";"°C"
"Consigne T°";"Bas=";50,0;"Haut=";550,0;"Unités=";"°C"
"Pt Chaud";"Bas=";50,0;"Haut=";550,0;"Unités=";"°C"
"Date/Heure";;"Pt Froid";"% Puissance";"Regulation";"Consigne T°";"Pt Chaud"
;;"°C";"%";"°C";"°C";"°C"
"09/02/23 13:55:52.75";"09/02/23 13:55:52 Démarrage lot (Invité)"
"09/02/23 13:55:52.75";"09/02/23 13:55:52 N° OF 340653--5374OFF"
"09/02/23 13:55:52.75";;496,9;19,7;495,0;495,0;494,8
"09/02/23 13:56:00";;496,9;18,9;495,0;495,0;494,8
"09/02/23 13:56:10";;496,9;18,8;495,0;495,0;494,8
"09/02/23 13:56:20";;496,9;19,5;495,0;495,0;494,8
"09/02/23 13:56:30";;496,9;19,3;495,0;495,0;494,8
"09/02/23 13:56:40";;496,5;19,2;494,8;495,0;494,3
"09/02/23 13:56:50";;487,5;19,2;487,7;495,0;485,0
"09/02/23 13:57:00";;478,7;19,2;479,2;495,0;475,4
"09/02/23 13:57:10";;471,7;19,2;471,8;495,0;467,6
"09/02/23 13:57:20";;469,4;19,2;469,1;495,0;465,0
"09/02/23 13:57:30";;468,0;19,2;467,6;495,0;463,5
"09/02/23 13:57:40";;466,6;19,2;466,4;495,0;462,5
"09/02/23 13:57:50";;460,6;19,2;462,1;495,0;456,9
"09/02/23 13:58:00";;448,7;19,2;450,6;495,0;444,0
"09/02/23 13:58:10";;440,0;19,9;440,1;495,0;435,5
"09/02/23 13:58:20";;434,1;100,0;433,0;495,0;431,8
"09/02/23 13:58:30";;429,4;100,0;427,3;495,0;428,5
"09/02/23 13:58:40";;426,0;100,0;422,7;495,0;425,9
"09/02/23 13:58:50";;423,4;100,0;418,7;495,0;423,6
"09/02/23 13:59:00";;421,5;100,0;415,6;495,0;421,9
"09/02/23 13:59:10";;420,3;100,0;413,2;495,0;420,7
"09/02/23 13:59:20";;419,5;100,0;411,1;495,0;419,8
"09/02/23 13:59:30";;419,1;100,0;409,7;495,0;419,0
"09/02/23 13:59:40";;419,0;100,0;408,5;495,0;418,3
"09/02/23 13:59:50";;419,0;100,0;407,6;495,0;417,9
"09/02/23 14:00:00";;419,2;100,0;406,8;495,0;417,5
"09/02/23 14:00:10";;419,7;100,0;406,4;495,0;417,3
"09/02/23 14:00:20";;420,1;100,0;406,3;495,0;417,3
"09/02/23 14:00:30";;420,6;100,0;406,2;495,0;417,5
"09/02/23 14:00:40";;421,2;100,0;406,3;495,0;417,7
"09/02/23 14:00:50";;421,9;100,0;406,7;495,0;417,7
"09/02/23 14:01:00";;422,5;100,0;407,0;495,0;418,0
"09/02/23 14:01:10";;423,1;100,0;407,4;495,0;418,2
"09/02/23 14:01:20";;423,8;100,0;407,9;495,0;418,6
"09/02/23 14:01:30";;424,3;100,0;408,5;495,0;419,1
"09/02/23 14:01:40";;425,0;100,0;409,2;495,0;419,6
"09/02/23 14:01:50";;425,6;100,0;409,8;495,0;420,1
"09/02/23 14:02:00";;426,3;100,0;410,6;495,0;420,6
"09/02/23 14:02:10";;426,9;100,0;411,4;495,0;420,9
"09/02/23 14:02:20";;427,5;100,0;412,2;495,0;421,4
"09/02/23 14:02:30";;428,2;100,0;413,0;495,0;421,9
"09/02/23 14:02:40";;428,8;100,0;413,8;495,0;422,5
"09/02/23 14:02:50";;429,4;100,0;414,6;495,0;423,1
"09/02/23 14:03:00";;430,1;100,0;415,5;495,0;423,6
"09/02/23 14:03:10";;430,7;100,0;416,3;495,0;424,2
"09/02/23 14:03:20";;431,3;100,0;417,1;495,0;424,6
"09/02/23 14:03:30";;431,8;100,0;417,9;495,0;425,1
"09/02/23 14:03:40";;432,4;100,0;418,8;495,0;425,6
"09/02/23 14:03:50";;433,0;100,0;419,6;495,0;426,2
"09/02/23 14:04:00";;433,6;100,0;420,5;495,0;426,8
"09/02/23 14:04:10";;434,3;100,0;421,3;495,0;427,4
"09/02/23 14:04:20";;434,9;100,0;422,0;495,0;428,0
"09/02/23 14:04:30";;435,5;100,0;422,9;495,0;428,6
"09/02/23 14:04:40";;436,2;100,0;423,7;495,0;429,1
"09/02/23 14:04:50";;436,8;100,0;424,4;495,0;429,7
"09/02/23 14:05:00";;437,3;100,0;425,2;495,0;430,2
"09/02/23 14:05:10";;437,9;100,0;426,1;495,0;430,8
"09/02/23 14:05:20";;438,5;100,0;426,8;495,0;431,5
"09/02/23 14:05:30";;439,1;100,0;427,6;495,0;432,0
"09/02/23 14:05:40";;439,7;100,0;428,4;495,0;432,6
