"Appareil";"Nom=";"Four Thermidor Efita";;"Numéro de série=";"8470479";;"Version de logiciel=";"5.4"
;"Adresse MAC=";"00:0A:8D:81:3F:CF";;"Langue=";"fr";;"Pays=";"FR";;"Fuseau horaire=";"GMT"
"Groupe";"Group 1"
"Pt Froid";"Bas=";50,0;"Haut=";550,0;"Unités=";"°C"
"% Puissance";"Bas=";0,0;"Haut=";100,0;"Unités=";"%"
"Regulation";"Bas=";50,0;"Haut=";550,0;"Unités=";"°C"
"Consigne T°";"Bas=";50,0;"Haut=";550,0;"Unités=";"°C"
"Pt Chaud";"Bas=";50,0;"Haut=";550,0;"Unités=";"°C"
"Date/Heure";;"Pt Froid";"% Puissance";"Regulation";"Consigne T°";"Pt Chaud"
;;"°C";"%";"°C";"°C";"°C"
"24/05/23 15:55:52.125";"24/05/23 15:55:52 Démarrage lot (Invité)"
"24/05/23 15:55:52.125";"24/05/23 15:55:52 N° OF 357701-350531-351832--5686OFF"
"24/05/23 15:55:52.125";;496,3;19,9;495,0;495,0;494,4
"24/05/23 15:56:00";;496,3;20,8;495,0;495,0;494,4
"24/05/23 15:56:10";;496,2;20,6;495,0;495,0;494,4
"24/05/23 15:56:20";;495,1;20,6;494,5;495,0;493,3
"24/05/23 15:56:30";;486,4;20,6;487,1;495,0;484,1
"24/05/23 15:56:40";;478,3;20,6;478,5;495,0;475,4
"24/05/23 15:56:50";;472,3;20,6;471,5;495,0;469,6
"24/05/23 15:57:00";;469,8;20,6;469,3;495,0;467,7
"24/05/23 15:57:10";;468,2;20,6;468,0;495,0;466,3
"24/05/23 15:57:20";;467,0;20,6;466,8;495,0;465,0
"24/05/23 15:57:30";;460,7;20,6;461,8;495,0;458,8
"24/05/23 15:57:40";;448,7;20,6;450,1;495,0;446,7
"24/05/23 15:57:50";;441,5;49,9;439,9;495,0;438,7
"24/05/23 15:58:00";;436,3;100,0;432,7;495,0;434,0
"24/05/23 15:58:10";;432,1;100,0;426,9;495,0;429,9
"24/05/23 15:58:20";;429,0;100,0;422,2;495,0;426,3
"24/05/23 15:58:30";;426,4;100,0;418,4;495,0;424,2
"24/05/23 15:58:40";;424,9;100,0;415,1;495,0;421,9
"24/05/23 15:58:50";;423,6;100,0;412,6;495,0;420,2
"24/05/23 15:59:00";;422,8;100,0;410,6;495,0;418,3
"24/05/23 15:59:10";;422,3;100,0;409,1;495,0;417,4
"24/05/23 15:59:20";;422,1;100,0;407,9;495,0;417,0
"24/05/23 15:59:30";;422,1;100,0;407,1;495,0;416,0
"24/05/23 15:59:40";;422,2;100,0;406,5;495,0;415,8
"24/05/23 15:59:50";;422,4;100,0;406,2;495,0;415,7
"24/05/23 16:00:00";;422,8;100,0;406,2;495,0;414,8
"24/05/23 16:00:10";;423,1;100,0;406,2;495,0;414,8
"24/05/23 16:00:20";;423,5;100,0;406,4;495,0;414,8
"24/05/23 16:00:30";;424,0;100,0;406,7;495,0;415,3
"24/05/23 16:00:40";;424,4;100,0;407,2;495,0;416,0
"24/05/23 16:00:50";;424,9;100,0;407,7;495,0;416,5
"24/05/23 16:01:00";;425,4;100,0;408,3;495,0;416,7
"24/05/23 16:01:10";;425,9;100,0;409,0;495,0;417,1
"24/05/23 16:01:20";;426,5;100,0;409,7;495,0;417,6
"24/05/23 16:01:30";;427,0;100,0;410,4;495,0;418,2
"24/05/23 16:01:40";;427,6;100,0;411,2;495,0;418,8
"24/05/23 16:01:50";;428,1;100,0;411,9;495,0;419,5
"24/05/23 16:02:00";;428,6;100,0;412,7;495,0;420,2
"24/05/23 16:02:10";;429,1;100,0;413,6;495,0;420,7
"24/05/23 16:02:20";;429,7;100,0;414,5;495,0;421,5
"24/05/23 16:02:30";;430,2;100,0;415,4;495,0;422,1
"24/05/23 16:02:40";;430,7;100,0;416,2;495,0;422,6
"24/05/23 16:02:50";;431,3;100,0;417,1;495,0;423,2
"24/05/23 16:03:00";;431,8;100,0;417,9;495,0;423,7
"24/05/23 16:03:10";;432,3;100,0;418,7;495,0;424,5
"24/05/23 16:03:20";;432,9;100,0;419,6;495,0;425,1
"24/05/23 16:03:30";;433,4;100,0;420,4;495,0;425,5
"24/05/23 16:03:40";;434,0;100,0;421,2;495,0;426,2
"24/05/23 16:03:50";;434,5;100,0;422,1;495,0;426,7
"24/05/23 16:04:00";;435,1;100,0;422,9;495,0;427,4
"24/05/23 16:04:10";;435,6;100,0;423,7;495,0;428,0
"24/05/23 16:04:20";;436,1;100,0;424,5;495,0;428,6
"24/05/23 16:04:30";;436,6;100,0;425,3;495,0;429,3
"24/05/23 16:04:40";;437,2;100,0;426,1;495,0;429,9
"24/05/23 16:04:50";;437,8;100,0;426,9;495,0;430,6
"24/05/23 16:05:00";;438,3;100,0;427,7;495,0;431,4
"24/05/23 16:05:10";;438,8;100,0;428,4;495,0;432,0
"24/05/23 16:05:20";;439,3;100,0;429,2;495,0;432,6
"24/05/23 16:05:30";;439,9;100,0;430,0;495,0;433,2
"24/05/23 16:05:40";;440,4;100,0;430,7;495,0;433,7
