Appareil;Nom=;Four Thermidor Efita;;Numéro de série=;8470479;;Version de logiciel=;5.4;;;
;Adresse MAC=;00:0A:8D:81:3F:CF;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT
Groupe;Group 2;;;;;;;;;;
T° Bac trempe;Bas=;0;Haut=;50;Unités=;°C;;;;;
% Puissance;Bas=;0;Haut=;100;Unités=;%;;;;;
Consigne T°;Bas=;50;Haut=;550;Unités=;°C;;;;;
N° Programme;Bas=;0;Haut=;50;Unités=;;;;;;
Chrono Trempe;Bas=;00:00:00;Haut=;00:00:00;Unités=;;;;;;
Date/Heure;;T° Bac trempe;% Puissance;Consigne T°;N° Programme;Chrono Trempe;;;;;
;;°C;%;°C;;;;;;;
09/02/23 13:55:52.75;09/02/23 13:55:52 Démarrage lot (Invité);;;;;;;;;;
09/02/23 13:55:52.75;09/02/23 13:55:52 N° OF 340653--5374OFF;;;;;;;;;;
09/02/23 13:55:52.75;;20;19,7;495;6;00:00:00;;;;;
09/02/2023 13:56;;20;18,9;495;6;00:00:00;;;;;
09/02/2023 13:56;;20;18,8;495;6;00:00:00;;;;;
09/02/2023 13:56;;20;19,5;495;6;00:00:00;;;;;
09/02/2023 13:56;;20;19,3;495;6;00:00:00;;;;;
09/02/2023 13:56;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:56;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:57;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:57;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:57;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:57;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:57;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:57;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:58;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:58;;20;19,9;495;6;00:00:00;;;;;
09/02/2023 13:58;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:58;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:58;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:58;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:59;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:59;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:59;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:59;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:59;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:59;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:00;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:00;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:00;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:00;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:00;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:00;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:01;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:01;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:01;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:01;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:01;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:01;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:02;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:02;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:02;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:02;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:02;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:02;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:03;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:03;;20;100;495;6;00:00:00;;;;;
