"Appareil";"Nom=";"Four Thermidor Efita";;"Numéro de série=";"8470479";;"Version de logiciel=";"5.4"
;"Adresse MAC=";"00:0A:8D:81:3F:CF";;"Langue=";"fr";;"Pays=";"FR";;"Fuseau horaire=";"GMT"
"Groupe";"Group 2"
"T° Bac trempe";"Bas=";0,0;"Haut=";50,0;"Unités=";"°C"
"% Puissance";"Bas=";0,0;"Haut=";100,0;"Unités=";"%"
"Consigne T°";"Bas=";50,0;"Haut=";550,0;"Unités=";"°C"
"N° Programme";"Bas=";0;"Haut=";50;"Unités=";""
"Chrono Trempe";"Bas=";"00:00:00";"Haut=";"00:00:00";"Unités=";""
"Date/Heure";;"T° Bac trempe";"% Puissance";"Consigne T°";"N° Programme";"Chrono Trempe"
;;"°C";"%";"°C";"";""
"24/05/23 15:55:52.125";"24/05/23 15:55:52 Démarrage lot (Invité)"
"24/05/23 15:55:52.125";"24/05/23 15:55:52 N° OF 357701-350531-351832--5686OFF"
"24/05/23 15:55:52.125";;24,9;19,9;495,0;5;"00:00:00"
"24/05/23 15:56:00";;24,8;20,8;495,0;5;"00:00:00"
"24/05/23 15:56:10";;24,8;20,6;495,0;5;"00:00:00"
"24/05/23 15:56:20";;24,8;20,6;495,0;5;"00:00:00"
"24/05/23 15:56:30";;24,7;20,6;495,0;5;"00:00:00"
"24/05/23 15:56:40";;24,7;20,6;495,0;5;"00:00:00"
"24/05/23 15:56:50";;24,8;20,6;495,0;5;"00:00:00"
"24/05/23 15:57:00";;24,8;20,6;495,0;5;"00:00:00"
"24/05/23 15:57:10";;24,8;20,6;495,0;5;"00:00:00"
"24/05/23 15:57:20";;24,8;20,6;495,0;5;"00:00:00"
"24/05/23 15:57:30";;24,8;20,6;495,0;5;"00:00:00"
"24/05/23 15:57:40";;24,8;20,6;495,0;5;"00:00:00"
"24/05/23 15:57:50";;24,8;49,9;495,0;5;"00:00:00"
"24/05/23 15:58:00";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 15:58:10";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 15:58:20";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 15:58:30";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 15:58:40";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 15:58:50";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 15:59:00";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 15:59:10";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 15:59:20";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 15:59:30";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 15:59:40";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 15:59:50";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 16:00:00";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 16:00:10";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 16:00:20";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 16:00:30";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 16:00:40";;24,8;100,0;495,0;5;"00:00:00"
"24/05/23 16:00:50";;24,7;100,0;495,0;5;"00:00:00"
"24/05/23 16:01:00";;24,7;100,0;495,0;5;"00:00:00"
"24/05/23 16:01:10";;24,7;100,0;495,0;5;"00:00:00"
"24/05/23 16:01:20";;24,7;100,0;495,0;5;"00:00:00"
"24/05/23 16:01:30";;24,7;100,0;495,0;5;"00:00:00"
"24/05/23 16:01:40";;24,7;100,0;495,0;5;"00:00:00"
"24/05/23 16:01:50";;24,7;100,0;495,0;5;"00:00:00"
"24/05/23 16:02:00";;24,7;100,0;495,0;5;"00:00:00"
"24/05/23 16:02:10";;24,7;100,0;495,0;5;"00:00:00"
"24/05/23 16:02:20";;24,8;100,0;495,0;5;"00:00:00"
